,geohash,country,division,district,thana,union
82,tupfnf,Bangladesh,Dhaka,Gopalganj,Kotali Para,Kandi
84,tupgcz,Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani
85,tupgeh,Bangladesh,Dhaka,Gopalganj,Kashiani,Bethuri
86,tupgfc,Bangladesh,Dhaka,Gopalganj,Kashiani,Fukura
87,tupgns,Bangladesh,Dhaka,Gopalganj,Gopalganj Sadar,Karpara
88,tupgnx,Bangladesh,Dhaka,Gopalganj,Gopalganj Sadar,Karpara
89,tupgtd,Bangladesh,Dhaka,Gopalganj,Kashiani,Singa
90,tupgtm,Bangladesh,Dhaka,Gopalganj,Kashiani,Singa
91,tupgue,Bangladesh,Dhaka,Gopalganj,Kashiani,Hatiara
92,tupgv9,Bangladesh,Dhaka,Gopalganj,Kashiani,Hatiara
133,tuptey,Bangladesh,Dhaka,Faridpur,Madhukhali,Kamarkhali
136,tupv96,Bangladesh,Dhaka,Faridpur,Boalmari,Satair
137,tupvm6,Bangladesh,Dhaka,Faridpur,Nagarkanda,Laskardia
138,tupvsd,Bangladesh,Dhaka,Faridpur,Nagarkanda,Dangi
140,tupwfe,Bangladesh,Dhaka,Rajbari,Pangsha,Patta
141,tupwk9,Bangladesh,Dhaka,Rajbari,Balia Kandi,Jangal
143,tupx9w,Bangladesh,Dhaka,Rajbari,Pangsha,Habaspur
144,tupxr0,Bangladesh,Dhaka,Rajbari,Rajbari Sadar,Mizanpur
146,tupy4t,Bangladesh,Dhaka,Faridpur,Faridpur Sadar,Kaijuri
147,tupytj,Bangladesh,Dhaka,Faridpur,Faridpur Sadar,Uttar Channel
149,tupzeh,Bangladesh,Dhaka,Manikganj,Shibalaya,Uthali
150,tupzj8,Bangladesh,Dhaka,Manikganj,Harirampur,Gopinathpur
151,tupzmq,Bangladesh,Dhaka,Manikganj,Shibalaya,Shimulia
152,tupzpe,Bangladesh,Dhaka,Manikganj,Harirampur,Balara
153,tupzvj,Bangladesh,Dhaka,Manikganj,Ghior,Ghior
235,turbh5,Bangladesh,Dhaka,Manikganj,Daulatpur,Khalsi
236,turbjz,Bangladesh,Dhaka,Manikganj,Daulatpur,Dhamsar
237,turbnv,Bangladesh,Dhaka,Manikganj,Saturia,Hargaz
238,turbpr,Bangladesh,Dhaka,Manikganj,Saturia,Hargaz
239,turbrt,Bangladesh,Dhaka,Manikganj,Saturia,Daragram
242,turcpq,Bangladesh,Dhaka,Tangail,Mirzapur,Banail
243,turct7,Bangladesh,Dhaka,Tangail,Delduar,Atia
258,turfkj,Bangladesh,Dhaka,Tangail,Tangail Sadar,Kakua
259,turfnp,Bangladesh,Dhaka,Tangail,Tangail Sadar,Gala
260,turfud,Bangladesh,Dhaka,Tangail,Kalihati,Narandia
261,turfy4,Bangladesh,Dhaka,Tangail,Kalihati,Narandia
262,turfzp,Bangladesh,Dhaka,Tangail,Ghatail,Digar
264,turg7b,Bangladesh,Dhaka,Tangail,Bhuapur,Gabsara
265,turghd,Bangladesh,Dhaka,Tangail,Ghatail,Lakher Para
328,turup2,Bangladesh,Dhaka,Tangail,Madhupur,Golabari
329,tururs,Bangladesh,Dhaka,Tangail,Dhanbari,Dhanbari
330,turuwz,Bangladesh,Dhaka,Tangail,Madhupur,Solakuri
597,wh04vg,Bangladesh,Dhaka,Madaripur,Kalkini,Kayaria
599,wh051n,Bangladesh,Dhaka,Gopalganj,Kotali Para,Kalabari
600,wh054p,Bangladesh,Dhaka,Gopalganj,Kotali Para,Sadullapur
601,wh05b1,Bangladesh,Dhaka,Madaripur,Rajoir,Kadambari
602,wh05f9,Bangladesh,Dhaka,Madaripur,Rajoir,Bajitpur
