,division,district,thana,lat,long,geohash
0,Khulna,Jhenaidah,Shailkupa,,,
1,Dhaka,Munshiganj,Tongibari,,,
2,Barisal,Bhola,Char Fasson,,,
3,Chittagong,Chittagong,Fatikchhari,,,
4,Khulna,Kushtia,Kushtia Sadar,,,
5,Rangpur,Dinajpur,Chirirbandar,,,
7,Mymensingh,Mymensingh,Nandail,,,
8,Mymensingh,Mymensingh,Fulbaria,,,
9,Mymensingh,Mymensingh,Gauripur,,,
10,Dhaka,Kishoreganj,Katiadi,,,
11,Barisal,Patuakhali,Bauphal,,,
12,Khulna,Kushtia,Daulatpur,,,
13,Sylhet,Habiganj,Madhabpur,,,
14,Rajshahi,Bogra,Adamdighi,,,
15,Dhaka,Kishoreganj,Austagram,,,
16,Sylhet,Maulvibazar,Kamalganj,,,
17,Mymensingh,Jamalpur,Madarganj,,,
18,Chittagong,Comilla,Barura,,,
19,Rajshahi,Naogaon,Badalgachhi,,,
21,Dhaka,Munshiganj,Munshiganj Sadar,,,
22,Chittagong,Chittagong,Lohagara,,,
23,Dhaka,Narsingdi,Roypura,,,
25,Chittagong,Comilla,Nangalkot,,,
26,Mymensingh,Jamalpur,Melandaha,,,
27,Barisal,Jhalokati,Kanthalia,,,
28,Chittagong,Rangamati,Langadu,,,
29,Sylhet,Sunamganj,Sunamganj Sadar,,,
31,Dhaka,Dhaka,Keraniganj,,,
32,Dhaka,Kishoreganj,Bhairab,,,
33,Khulna,Satkhira,Satkhira Sadar,,,
34,Barisal,Barisal,Babuganj,,,
35,Mymensingh,Netrakona,Purbadhala,,,
36,Dhaka,Dhaka,Nawabganj,,,
37,Rajshahi,Naogaon,Dhamoirhat,,,
38,Rajshahi,Pabna,Sujanagar,,,
39,Chittagong,Chittagong,Boalkhali,,,
40,Sylhet,Habiganj,Chunarughat,,,
41,Rajshahi,Joypurhat,Kalai,,,
42,Rajshahi,Naogaon,Atrai,,,
43,Chittagong,Rangamati,Barkal,,,
44,Rajshahi,Naogaon,Sapahar,,,
45,Khulna,Khulna,Rupsa,,,
47,Dhaka,Tangail,Mirzapur,,,
48,Chittagong,Comilla,Laksam,,,
49,Sylhet,Habiganj,Ajmiriganj,,,
51,Khulna,Khulna,Terokhada,,,
52,Rajshahi,Naogaon,Patnitala,,,
53,Rangpur,Thakurgaon,Thakurgaon Sadar,,,
54,Sylhet,Maulvibazar,Maulvi Bazar Sadar,,,
56,Chittagong,Brahamanbaria,Akhaura,,,
57,Rajshahi,Joypurhat,Akkelpur,,,
58,Dhaka,Faridpur,Sadarpur,,,
