,Unnamed: 0,division,district,thana,lat,long,geohash
0,0,Khulna,Jhenaidah,Shailkupa,23.6840828,89.2419658,tupqwz81b90
1,1,Dhaka,Munshiganj,Tongibari,23.5096549,90.4667501,wh0mdxgcsj6
2,2,Barisal,Bhola,Char Fasson,22.0937737,90.7152749,w5bt8q0ce1g
3,3,Chittagong,Chittagong,Fatikchhari,22.749818,91.733715,wh11rmqrq3r
4,4,Khulna,Kushtia,Kushtia Sadar,23.8799007,89.0920225,tuprg74yd84
5,5,Rangpur,Dinajpur,Chirirbandar,25.6503373,88.7770522,tux1ujt2p32
6,7,Mymensingh,Mymensingh,Nandail,24.5687223,90.6903529,wh27z8wenmu
7,8,Mymensingh,Mymensingh,Fulbaria,24.5715533,90.26200419999999,wh25vcng9js
8,9,Mymensingh,Mymensingh,Gauripur,24.6923421,90.5943697,wh2kmx0g3f4
9,10,Dhaka,Kishoreganj,Katiadi,24.0555274,90.9802452,wh28y71v977
10,11,Barisal,Patuakhali,Bauphal,22.4192529,90.55651379999999,w5brs9m1xew
11,12,Khulna,Kushtia,Daulatpur,24.0050486,88.87552989999999,tur0w3vptcq
12,13,Sylhet,Habiganj,Madhabpur,24.0998223,91.2963269,wh2cj7pzws7
13,14,Rajshahi,Bogra,Adamdighi,24.8002827,89.0418249,turm44y20gu
14,15,Dhaka,Kishoreganj,Austagram,,,
15,16,Sylhet,Maulvibazar,Kamalganj,24.3584367,91.8611011,wh36d674nv9
16,17,Mymensingh,Jamalpur,Madarganj,24.8802883,89.7567693,turvd3qfhmf
17,18,Chittagong,Comilla,Barura,23.2448524,91.12117459999999,wh0u1x87j68
18,19,Rajshahi,Naogaon,Badalgachhi,24.968485,88.9102489,turnp1q7yyy
19,21,Dhaka,Munshiganj,Munshiganj Sadar,23.5004745,90.5446912,wh0msqhshjz
20,22,Chittagong,Chittagong,Lohagara,23.1675793,89.64399240000002,tupezcsbbmv
21,23,Dhaka,Narsingdi,Roypura,23.9944276,90.87186919999999,wh28eb4csj2
22,25,Chittagong,Comilla,Nangalkot,23.1694062,91.1977158,wh0gg3b5sf3
23,26,Mymensingh,Jamalpur,Melandaha,24.98125,89.82708939999999,turyh5dn6fs
24,27,Barisal,Jhalokati,Kanthalia,22.4052778,90.09336859999999,w5bp6ngbpws
25,28,Chittagong,Rangamati,Langadu,22.9385888,92.18432849999999,wh1d3xydfwc
26,29,Sylhet,Sunamganj,Sunamganj Sadar,,,
27,31,Dhaka,Dhaka,Keraniganj,23.7012548,90.3974582,wh0qc49mv6n
28,32,Dhaka,Kishoreganj,Bhairab,24.0555274,90.9802452,wh28y71v977
29,33,Khulna,Satkhira,Satkhira Sadar,22.7361633,89.0370477,tup364fzc84
30,34,Barisal,Barisal,Babuganj,22.834068,90.3183792,wh01zhzf4fb
31,35,Mymensingh,Netrakona,Purbadhala,24.9268228,90.5825359,wh2mv3b1q0d
32,36,Dhaka,Dhaka,Nawabganj,25.4192594,89.0784642,tux2e52vytm
33,37,Rajshahi,Naogaon,Dhamoirhat,25.1503961,88.85150279999999,turpjf7xwjd
34,38,Rajshahi,Pabna,Sujanagar,23.9421529,89.4210136,tur84yd3hsu
35,39,Chittagong,Chittagong,Boalkhali,22.3791057,91.9172519,w5cr79upepw
36,40,Sylhet,Habiganj,Chunarughat,24.1843292,91.4821482,wh319dx7bt9
37,41,Rajshahi,Joypurhat,Kalai,25.0800353,89.19916119999999,turqtv8vg17
38,42,Rajshahi,Naogaon,Atrai,24.6121527,88.9828998,turk0be25vg
39,43,Chittagong,Rangamati,Barkal,22.7251557,92.3795109,wh19q0uxws5
40,44,Rajshahi,Naogaon,Sapahar,25.1258991,88.587932,tuqyzy5bbrj
41,45,Khulna,Khulna,Rupsa,22.8004577,89.5868179,tup9wwenk1m
42,47,Dhaka,Tangail,Mirzapur,24.1052534,90.1050557,wh214khrrbz
43,48,Chittagong,Comilla,Laksam,23.2448524,91.12117459999999,wh0u1x87j68
44,49,Sylhet,Habiganj,Ajmiriganj,24.5489217,91.2361706,wh2gshupufe
45,51,Khulna,Khulna,Terokhada,22.9353223,89.6675144,tupf2rjzutb
46,52,Rajshahi,Naogaon,Patnitala,25.064922,88.7301525,turne4gmf2j
47,53,Rangpur,Thakurgaon,Thakurgaon Sadar,26.0287744,88.47855310000001,tuwuj6kheen
48,54,Sylhet,Maulvibazar,Maulvi Bazar Sadar,24.467064,91.714958,wh35pn0fcrm
49,56,Chittagong,Brahamanbaria,Akhaura,23.8686193,91.20972909999999,wh0zg90uu9p
50,57,Rajshahi,Joypurhat,Akkelpur,24.9248618,89.0370477,turmf16vce4
51,58,Dhaka,Faridpur,Sadarpur,23.477146,90.02491839999999,wh0j89fhk9h
52,59,Mymensingh,Mymensingh,Mymensingh Sadar,24.7851062,90.3560076,wh2kbpgpxwd
53,60,Chittagong,Comilla,Muradnagar,23.7128182,90.9438468,wh0wvkz31jx
54,61,Rangpur,Dinajpur,Fulbari,25.4454443,88.8838834,tux0y85q2we
55,62,Rangpur,Rangpur,Gangachara,25.8300734,89.1195784,tux6gynzhdw
56,63,Khulna,Chuadanga,Alamdanga,23.7626671,88.94378069999999,tupppvygs61
57,64,Dhaka,Tangail,Gopalpur,24.5628538,89.9276592,turgwre2frf
58,66,Rajshahi,Joypurhat,Khetlal,25.0380091,89.10864769999999,turq7wnbvzp
59,68,Rangpur,Rangpur,Taraganj,25.7780177,89.0370477,tux6dhdzcdf
60,69,Sylhet,Sylhet,Bishwanath,,,
61,70,Rajshahi,Nawabganj,Nawabganj Sadar,24.5914702,88.282083,tuqgbutp9wk
62,71,Dhaka,Faridpur,Alfadanga,23.2986538,89.6722171,tupu893k6pg
63,72,Dhaka,Faridpur,Bhanga,23.4061686,90.0186555,wh0j0kvwfdn
64,73,Chittagong,Cox's Bazar,Kutubdia,21.816667,91.858333,w5ck4795q33
65,74,Dhaka,Faridpur,Faridpur Sadar,23.6203524,89.81303559999999,tupy7ezye2v
66,75,Rangpur,Dinajpur,Hakimpur,25.292669,89.0657027,turrfsrsmr1
67,76,Chittagong,Bandarban,Alikadam,21.655771,92.311163,w5cehw6fn02
68,77,Chittagong,Bandarban,Rowangchhari,22.214259,92.336789,w5cwm5vx7nh
69,78,Barisal,Barisal,Mehendiganj,22.8260701,90.5269639,wh03ggrerpu
70,79,Barisal,Bhola,Bhola Sadar,22.6901809,90.62041649999999,wh03n4egbu2
71,80,Dhaka,Madaripur,Kalkini,23.0724326,90.2807868,wh05q2hqwv1
72,81,Rajshahi,Nawabganj,Gomastapur,24.7933883,88.2897742,tuqv116xuye
73,83,Sylhet,Sylhet,Beani Bazar,,,
74,84,Barisal,Patuakhali,Dashmina,22.2791401,90.56833990000001,w5bqszvc7k8
75,85,Dhaka,Rajbari,Rajbari Sadar,23.7153155,89.6628111,tupybm4rwzj
76,88,Dhaka,Narayanganj,Narayanganj Sadar,23.6315743,90.4974359,wh0q7mfpzhe
77,89,Sylhet,Sylhet,Gowainghat,,,
78,90,Chittagong,Comilla,Chauddagram,23.228035,91.3131861,wh0ujus1p7w
79,91,Dhaka,Narsingdi,Narsingdi Sadar,23.8807024,90.6962853,wh0rzg750te
80,92,Dhaka,Tangail,Madhupur,24.6118636,90.0314865,wh2h08qymxy
81,93,Khulna,Chuadanga,Chuadanga Sadar,23.59267,88.8838834,tupnnwgm287
82,95,Rangpur,Dinajpur,Khansama,25.9362732,88.8407037,tux5t9ecdry
83,96,Rangpur,Panchagarh,Atwari,26.2454538,88.4210006,tuwvk1f4yeh
84,97,Chittagong,Noakhali,Begumganj,22.9319328,91.0921473,wh0f2yek0yh
85,98,Khulna,Khulna,Koyra,22.0940864,89.3606298,tgzt9qn7ms5
86,100,Khulna,Magura,Sreepur,23.5955714,89.41746409999999,tupw4xry1vm
87,101,Chittagong,Chittagong,Sandwip,,,
88,103,Rangpur,Panchagarh,Panchagarh Sadar,26.3891101,88.6144839,tuxn07zpens
89,105,Khulna,Kushtia,Khoksa,23.8058265,89.2836391,tuprrtwqgxd
90,106,Khulna,Kushtia,Mirpur,23.93095,89.0005805,tur21k2pzu6
91,107,Chittagong,Noakhali,Sonaimuri,23.0509273,91.1113216,wh0g1k31rsm
92,110,Khulna,Meherpur,Meherpur Sadar,23.781239,88.6530753,tupp335py2k
93,111,Rajshahi,Joypurhat,Joypurhat Sadar,25.1146553,89.0370477,turqf5fz3x4
94,113,Rangpur,Thakurgaon,Haripur,25.8640905,88.14865700000001,tuweju7vhxf
95,114,Dhaka,Madaripur,Rajoir,23.2066833,90.04899019999999,wh0h10estx3
96,115,Chittagong,Chittagong,Satkania,22.09506,92.050998,w5cmwwm3p9w
97,116,Dhaka,Dhaka,Savar,23.8478798,90.2575646,wh0ptv7ecxn
98,119,Chittagong,Feni,Sonagazi,22.8491219,91.3915948,wh0czxt3f90
99,120,Mymensingh,Mymensingh,Trishal,24.5712183,90.4125181,wh27c3h3sr5
100,122,Khulna,Khulna,Batiaghata,22.7263608,89.5025641,tup9k9jy8us
101,124,Chittagong,Feni,Fulgazi,23.1139399,91.4241426,wh152rv02yt
102,125,Rangpur,Thakurgaon,Baliadangi,26.0854593,88.2765381,tuwu2u9nb6j
103,127,Barisal,Patuakhali,Galachipa,22.1633734,90.41016189999999,w5bq16dxj2q
104,129,Dhaka,Narsingdi,Belabo,24.0821904,90.83892519999999,wh29504bume
105,130,Barisal,Patuakhali,Mirzaganj,22.3693991,90.2150873,w5bpkbhx5yh
106,131,Barisal,Pirojpur,Mathbaria,22.2860857,89.9626799,tgzyz1hcf7k
107,132,Barisal,Pirojpur,Kawkhali,22.6079392,90.04665589999999,wh00959uz1m
108,133,Chittagong,Comilla,Comilla Adarsha Sadar,23.4613841,91.1640968,wh0v6rp8mqv
109,134,Rajshahi,Bogra,Shajahanpur,24.7604268,89.3606298,tursc7qrvw5
110,135,Dhaka,Dhaka,Dhamrai,23.7932126,90.2713349,wh0pq5mtd83
111,136,Mymensingh,Mymensingh,Haluaghat,25.1242115,90.33955139999999,wh2nztxr0h7
112,138,Mymensingh,Netrakona,Netrokona Sadar,24.8550453,90.7152749,wh2t2k8z5h7
113,139,Barisal,Barguna,Amtali,22.1339094,90.23619289999999,w5bjvm7grey
114,140,Chittagong,Khagrachhari,Matiranga,23.0407988,91.8733017,wh174dkn7h4
115,141,Chittagong,Rangamati,Baghai Chhari,23.15,92.1917,wh1e9y7fw2c
116,142,Dhaka,Gopalganj,Kotali Para,,,
117,144,Sylhet,Sylhet,Golabganj,,,
118,147,Chittagong,Noakhali,Noakhali Sadar (Sudharam),,,
119,149,Rangpur,Kurigram,Bhurungamari,26.1119582,89.68162079999999,tuxu8c81jjz
120,152,Khulna,Chuadanga,Jiban Nagar,23.4226037,88.82389959999999,tupjjpzwdcg
121,153,Dhaka,Tangail,Ghatail,24.4767377,90.0373201,wh250zg5mde
122,155,Barisal,Patuakhali,Dumki,22.4644533,90.38425269999999,w5brb9xbctx
123,156,Dhaka,Shariatpur,Shariatpur Sadar,23.219547,90.34825119999999,wh0hpfvxdv6
124,157,Rangpur,Rangpur,Pirgachha,25.657772,89.4055588,tux9fqz5ke2
125,158,Chittagong,Chittagong,Anowara,22.2337164,91.8659809,w5cq6rwbb90
126,159,Khulna,Satkhira,Assasuni,22.5463195,89.18964299999999,tup2m83vv6d
127,160,Rajshahi,Joypurhat,Panchbibi,25.1858842,89.0179122,turr38uy7tn
128,161,Mymensingh,Jamalpur,Sarishabari,24.7669433,89.8409152,turuuksjvhc
129,162,Chittagong,Brahamanbaria,Sarail,24.1163728,91.07777229999999,wh2c0w2b1ct
130,163,Khulna,Jessore,Kotwali,22.3375,91.8389,w5cr1f7j37z
131,164,Dhaka,Kishoreganj,Hossainpur,24.4165619,90.6555614,wh26yuvkg9n
132,165,Dhaka,Narayanganj,Araihazar,23.7916557,90.6535914,wh0rqg5umy1
133,166,Chittagong,Brahamanbaria,Ashuganj,24.0384551,91.003711,wh28yb4fhhv
134,169,Rajshahi,Rajshahi,Bagha,24.2109221,88.8455037,tur1txrqf6c
135,172,Rajshahi,Natore,Lalpur,24.2117459,88.96053649999999,tur38re5dsx
136,176,Dhaka,Tangail,Bhuapur,24.4528401,89.7942892,turg57d0nef
137,178,Chittagong,Noakhali,Senbagh,22.9726148,91.2313618,wh0fsn09hvc
138,180,Khulna,Magura,Shalikha,23.3571618,89.341667,tupsch097dx
139,181,Dhaka,Shariatpur,Bhedarganj,23.2148117,90.5068824,wh0k5d1h54w
140,182,Dhaka,Manikganj,Shibalaya,23.8346225,89.8692203,tupzt4by8xe
141,183,Chittagong,Comilla,Homna,23.6824728,90.78329079999999,wh0w9z627uz
142,185,Sylhet,Sunamganj,Jagannathpur,,,
143,186,Sylhet,Maulvibazar,Sreemangal,24.315354,91.694126,wh34qd3x5yx
144,187,Chittagong,Chandpur,Chandpur Sadar,23.2320991,90.66307499999999,wh0kpj6bfc0
145,188,Chittagong,Chandpur,Kachua,22.6555755,89.87857650000001,tupbvhrd69k
146,189,Rajshahi,Pabna,Bhangura,24.2173789,89.3781432,tur9cbehmwt
147,191,Rangpur,Kurigram,Chilmari,25.5810414,89.66163519999999,tuxc82cs7e8
148,195,Chittagong,Chittagong,Patiya,22.294373,91.961867,w5cqudsd4u6
149,196,Rangpur,Dinajpur,Dinajpur Sadar,25.636567,88.63857300000001,tux1c4bxu6q
150,198,Mymensingh,Netrakona,Barhatta,24.8986484,90.8841992,wh2tshev5k6
151,200,Mymensingh,Netrakona,Kendua,24.6703752,90.8436885,wh2s75n7777
152,201,Dhaka,Gazipur,Kaliakair,24.119897,90.2807868,wh21nqukwf9
153,202,Rajshahi,Pabna,Pabna Sadar,24.0076123,89.2383285,tur2wdmq7z2
154,203,Rajshahi,Pabna,Santhia,24.071871,89.5308903,tur8vq4kucy
155,205,Chittagong,Comilla,Chandina,23.4892481,91.00836369999999,wh0twun6b94
156,206,Rangpur,Dinajpur,Bochaganj,25.7997217,88.46218909999999,tuwfv08nq2t
157,207,Sylhet,Sunamganj,Sulla,,,
158,208,Dhaka,Faridpur,Saltha,23.445,89.802,tupv7kpc42b
159,209,Barisal,Pirojpur,Nesarabad (Swarupkati),,,
160,210,Rajshahi,Pabna,Atgharia,24.1182123,89.2277026,tur3nqtdu0t
161,211,Mymensingh,Mymensingh,Ishwarganj,24.6923421,90.5943697,wh2kmx0g3f4
162,213,Khulna,Magura,Magura Sadar,23.485581,89.4190545,tuptdg2vqvx
163,214,Dhaka,Tangail,Delduar,24.1201434,89.9440061,turcnwznp0x
164,215,Dhaka,Manikganj,Manikganj Sadar,23.8346765,90.0186555,wh0p86vx49w
165,216,Khulna,Bagerhat,Mollahat,22.881864,89.7567693,tupf4mwbs2d
166,217,Khulna,Khulna,Dumuria,22.8634453,89.5167298,tupdj40j4zp
167,218,Rajshahi,Bogra,Shibganj,24.6837476,88.15719349999999,tuqsqjd172p
168,219,Dhaka,Munshiganj,Sreenagar,23.5487895,90.2807868,wh0jyqumwu9
169,220,Khulna,Khulna,Khan Jahan Ali,22.913332,89.489351,tupdk7hpv48
170,221,Khulna,Satkhira,Shyamnagar,22.3392217,89.10597899999999,tgzr5dszruc
171,222,Rajshahi,Rajshahi,Baghmara,24.590836,88.8070886,tur5uuek50h
172,224,Barisal,Patuakhali,Patuakhali Sadar,22.3587792,90.34523809999999,w5bppy73kds
173,227,Khulna,Narail,Narail Sadar,23.1656982,89.4990219,tupeu95jyr5
174,228,Sylhet,Habiganj,Nabiganj,24.567188,91.5136009,wh35f2q4jry
175,232,Barisal,Barguna,Barguna Sadar,22.1191492,90.09336859999999,w5bjf4evrsk
176,234,Dhaka,Narsingdi,Shibpur,23.9801051,90.7332793,wh282tmynxs
177,235,Khulna,Jhenaidah,Maheshpur,23.3303492,88.8263006,tuphtr1m4u6
178,237,Dhaka,Manikganj,Harirampur,23.7156764,89.9626799,tupyzjkcf6s
179,239,Rangpur,Dinajpur,Biral,25.6318682,88.5371958,tuwcydnu6nw
180,240,Chittagong,Bandarban,Lama,21.7250394,92.0469151,w5c7wdft88f
181,241,Khulna,Narail,Kalia,23.0246287,89.64399240000002,tupdzzsb0mv
182,242,Chittagong,Khagrachhari,Dighinala,23.2408468,92.0640687,wh1knyz58rc
183,243,Khulna,Magura,Mohammadpur,23.4055777,89.5686271,tuptnhvgk7c
184,244,Dhaka,Rajbari,Pangsha,23.7800218,89.412731,tupx69h2etk
185,247,Rangpur,Thakurgaon,Ranisankail,25.8920465,88.2582857,tuwg23e8p57
186,248,Chittagong,Brahamanbaria,Kasba,23.78307,91.1161166,wh0z33sdrms
187,250,Chittagong,Noakhali,Chatkhil,23.0577929,90.97250849999999,wh0enjs1mh4
188,253,Rangpur,Rangpur,Badarganj,25.6539681,89.07047659999999,tux3fy5jhw3
189,255,Chittagong,Cox's Bazar,Chakaria,21.7619053,92.0775512,w5c7z38u63n
190,256,Barisal,Bhola,Lalmohan,22.3404052,90.7347111,w5bx0dzn212
191,258,Dhaka,Dhaka,Badda,23.7805462,90.4266584,wh0r39netz5
192,259,Rajshahi,Rajshahi,Tanore,24.6359657,88.5371958,tuqunsyffhy
193,261,Rangpur,Gaibandha,Gaibandha Sadar,25.3297044,89.5428879,tux8je5hhx0
194,262,Dhaka,Kishoreganj,Itna,24.5441919,91.07777229999999,wh2g8s0u3bv
195,264,Khulna,Jessore,Sharsha,23.069281,88.96053649999999,tup70reh69x
196,268,Chittagong,Chandpur,Matlab Uttar,,,
197,269,Mymensingh,Jamalpur,Bakshiganj,25.184411,89.86805059999999,turzkbxvv67
198,271,Dhaka,Faridpur,Madhukhali,23.5485461,89.6063278,tuptznck4z0
199,272,Rajshahi,Natore,Bagati Para,24.30709,88.99880979999999,tur630yzn9f
200,274,Barisal,Barisal,Agailjhara,22.9713291,90.16354419999999,wh04etz1dy5
201,275,Khulna,Bagerhat,Bagerhat Sadar,22.6911927,89.7567693,tupc46ycu2f
202,282,Rajshahi,Sirajganj,Sirajganj Sadar,24.4524175,89.7045249,turg172vdvj
203,283,Mymensingh,Mymensingh,Dhobaura,25.0899993,90.5222045,wh2qezkrb4z
204,284,Mymensingh,Sherpur,Nalitabari,25.1413667,90.1869644,wh2ph2b5hd6
205,285,Khulna,Jessore,Bagher Para,23.2204236,89.3466838,tups15hkb8s
