,country,user_id,updated_date,created_date,level_id,affluence_id,unique_id,name,latitude,longitude,radius,geohash,afluence,category
33059,BD,admin,8/2/21,8/2/21,,,,Hotel 71 & Resort,78.456789,-71.202996,200,fmvq7dx,Mid,Hotel & Resort
33060,BD,admin,8/2/21,8/2/21,,,,Hotel Grand Palace,34.7353703,-86.6386617,200,dn4ms7r,Mid,Hotel & Resort
33061,BD,admin,8/2/21,8/2/21,,,,Hotel 71 & Resort,46.8146409,-71.202996,200,f2m67dr,Low,Hotel & Resort
33062,BD,admin,8/2/21,8/2/21,,,,Padma Riverview Hotel & Resort,23.7913493,89.8112617,200,tupz7en,Mid,Hotel & Resort
33063,BD,admin,8/2/21,8/2/21,,,,Hotel Sea View,35.1222216,-120.6248659,200,9q4pz1g,Mid,Hotel & Resort
33064,BD,admin,8/2/21,8/2/21,,,,Hotel GreenView International,24.5754289,73.6936123,200,tsk7ucy,Low,Hotel & Resort
33065,BD,admin,8/2/21,8/2/21,,,,"Hotel Takdir, Barguna",22.16095,90.121635,200,w5bn4f2,Low,Hotel & Resort
33066,BD,admin,8/2/21,8/2/21,,,,Somudra Bari Resort,21.8201859,90.1254157,200,w5bh4u5,Mid,Hotel & Resort
33067,BD,admin,8/2/21,8/2/21,,,,"Sawpnorajjo Park and Resort, Kuakata",21.8308804,90.0953016,200,w5bh4nj,Mid,Hotel & Resort
33068,BD,admin,8/2/21,8/2/21,,,,Barisal Resort,22.722923,90.3935582,200,wh032bw,Low,Hotel & Resort
33069,BD,admin,8/2/21,8/2/21,,,,Sagor Konna Resort ltd.,21.8176939,90.1173173,200,w5bh4ev,Mid,Hotel & Resort
33070,BD,admin,8/2/21,8/2/21,,,,Mangrove Hotel and Resort,36.121174,-115.1696526,200,9qqj7r8,Low,Hotel & Resort
33071,BD,admin,8/2/21,8/2/21,,,,Hotel Sand Beach,33.6819667,-78.8892944,200,djzzsgd,Mid,Hotel & Resort
33072,BD,admin,8/2/21,8/2/21,,,,BAY BREEZE HOTEL (GOLDSANDS HOTELS & RESORTS LTD).,21.8168961,90.1180386,200,w5bh4et,Low,Hotel & Resort
33073,BD,admin,8/2/21,8/2/21,,,,Sikder Resort & Villas,21.8155954,90.1384868,200,w5bh55k,Ultra High,Hotel & Resort
33074,BD,admin,8/2/21,8/2/21,,,,Gateway Resorts,38.6788449,-108.9829571,200,9wfs013,Low,Hotel & Resort
33075,BD,admin,8/2/21,8/2/21,,,,Rose valley Motel & Resort,44.4958999,-84.1070199,200,dpujnh5,Low,Hotel & Resort
33076,BD,admin,8/2/21,8/2/21,,,,Honeymoon Resort (Cottage),34.460353,-94.532515,200,9yhu0c7,Low,Hotel & Resort
33077,BD,admin,8/2/21,8/2/21,,,,Picnic Park & Resort,38.7387863,-78.3119303,200,dqbk3un,Low,Hotel & Resort
33078,BD,admin,8/2/21,8/2/21,,,,Beach Palace Hotel & Resort,26.174029,-80.099976,200,dhxhckb,Low,Hotel & Resort
33079,BD,admin,8/2/21,8/2/21,,,,Hotel Hilton,36.7506946,-95.9794043,200,9ye9pfm,Mid,Hotel & Resort
33080,BD,admin,8/2/21,8/2/21,,,,Hotel South King,41.8521395,-87.6177894,200,dp3wn4y,Mid,Hotel & Resort
33081,BD,admin,8/2/21,8/2/21,,,,Hotel Panama International,8.989383,-79.527378,200,d1x7nk3,High,Hotel & Resort
33082,BD,admin,8/2/21,8/2/21,,,,Hotel Ruposhi Bangla,22.6248391,88.4335852,200,tunbsqe,Mid,Hotel & Resort
33083,BD,admin,8/2/21,8/2/21,,,,Circuit House Patuakhali,22.3588721,90.3383057,200,w5bppwq,Ultra High,Hotel & Resort
33084,BD,admin,8/2/21,8/2/21,,,,Hotel Park,32.8633988,-96.8098484,200,9vg4vn9,Low,Hotel & Resort
33085,BD,admin,8/2/21,8/2/21,,,,Sharos Resort,36.3297342,-83.7496565,200,dnkqwjx,Low,Hotel & Resort
33086,BD,admin,8/2/21,8/2/21,,,,Sezan Resort,22.2507911,90.5109213,200,w5bqeds,Low,Hotel & Resort
33087,BD,admin,8/2/21,8/2/21,,,,House Of Miraz & Mehedi,22.4600998,90.3290293,200,w5bpz2x,Low,Hotel & Resort
33088,BD,admin,8/2/21,8/2/21,,,,Rose Valley Motel & Resort,44.4958999,-84.1070199,200,dpujnh5,Low,Hotel & Resort
33089,BD,admin,8/2/21,8/2/21,,,,Tetulia river Hotel and Resort,29.735906,-98.104178,200,9v61pt6,Low,Hotel & Resort
33090,BD,admin,8/2/21,8/2/21,,,,Swarupkathi Dak Banglo স্বরূপকাঠি ডাক বাংলো,22.7460489,90.0981323,200,wh016hz,Low,Hotel & Resort
33091,BD,admin,8/2/21,8/2/21,,,,Sohel Resort,37.7813139,-122.4194583,200,9q8yymb,Mid,Hotel & Resort
33092,BD,admin,8/2/21,8/2/21,,,,Circuit House Pirojpur,22.5841051,89.9720133,200,tupbrr7,Mid,Hotel & Resort
33093,BD,admin,8/2/21,8/2/21,,,,Hotel Royal Palace,29.0938245,-110.9991,200,9t1jd0k,Mid,Hotel & Resort
33094,BD,admin,8/2/21,8/2/21,,,,Hotel Relax,38.9981316,-95.6875987,200,9ygvye6,High,Hotel & Resort
33095,BD,admin,8/2/21,8/2/21,,,,Debi,34.7555591,-92.2954268,200,9ynmez0,Low,Hotel & Resort
33096,BD,admin,8/2/21,8/2/21,,,,Hotel Al Amin,3.1488127,101.6968039,200,w283fjj,High,Hotel & Resort
33097,BD,admin,8/2/21,8/2/21,,,,Rupsha Resort & Restaurant,36.5938653,-93.3955055,200,9yt84tx,Mid,Hotel & Resort
33098,BD,admin,8/2/21,8/2/21,,,,Sundarban Eco Resort Ltd,22.4393381,89.5839587,200,tgzxwsc,Mid,Hotel & Resort
33099,BD,admin,8/2/21,8/2/21,,,,Tungipara Resort Hotel.,22.897758,89.8935797,200,tupfm86,Mid,Hotel & Resort
33100,BD,admin,8/2/21,8/2/21,,,,Hotel Rodela,22.7020784,90.3749142,200,wh030sc,High,Hotel & Resort
33101,BD,admin,8/2/21,8/2/21,,,,মুনতাহ ভিলা,22.4595156,89.9262729,200,tgzzy2d,Low,Hotel & Resort
33102,BD,admin,8/2/21,8/2/21,,,,Hotel Grand Park Barisal,22.6912122,90.368738,200,wh0306u,Ultra High,Hotel & Resort
33103,BD,admin,8/2/21,8/2/21,,,,Rainbow Eco Resort,22.476404,89.5810097,200,tgzxy7w,Mid,Hotel & Resort
33104,BD,admin,8/2/21,8/2/21,,,,Panchayat Resort,36.1019132,-115.1688204,200,9qqj7k0,Low,Hotel & Resort
33105,BD,admin,8/2/21,8/2/21,,,,Hotel Charu Residential,22.6909366,90.3688493,200,wh0306u,Mid,Hotel & Resort
33106,BD,admin,8/2/21,8/2/21,,,,Sundarbans Resort,22.1050758,88.7642856,200,tgzjgbh,Mid,Hotel & Resort
33107,BD,admin,8/2/21,8/2/21,,,,Mohaiminul BN,22.5177482,90.1734018,200,wh005gn,Low,Hotel & Resort
33108,BD,admin,8/2/21,8/2/21,,,,Md.Sabbir,42.9560593,-82.4334645,200,dptkk5v,Low,Hotel & Resort
33109,BD,admin,8/2/21,8/2/21,,,,Hotel Shaikat Residential,23.9737353,91.1132797,200,wh2b3k6,Low,Hotel & Resort
33110,BD,admin,8/2/21,8/2/21,,,,Grand A. Malek,23.9742969,91.1118947,200,wh2b3k3,Mid,Hotel & Resort
33111,BD,admin,8/2/21,8/2/21,,,,অবকাশ,23.7617072,91.1214216,200,wh0z1t8,Low,Hotel & Resort
33112,BD,admin,8/2/21,8/2/21,,,,ক্যাফে আব্দুল্লাহ হোটেল এন্ড রেষ্টুরেন্ট,23.9731471,91.1112234,200,wh2b3k1,Low,Hotel & Resort
33113,BD,admin,8/2/21,8/2/21,,,,Cafe Abdullah Hotel & Restaurant,23.9731823,91.111138,200,wh2b3k1,Mid,Hotel & Resort
33114,BD,admin,8/2/21,8/2/21,,,,Brahmanbaria Agro Resort,23.9839434,91.1543374,200,wh2b6q0,Low,Hotel & Resort
33115,BD,admin,8/2/21,8/2/21,,,,Hotel Noumi,-22.904142,-47.0524905,200,6gyt9q3,High,Hotel & Resort
33116,BD,admin,8/2/21,8/2/21,,,,Al Helal Kari Hotel & Kari Chinese Restaurant,23.9742154,91.1126327,200,wh2b3k6,High,Hotel & Resort
33117,BD,admin,8/2/21,8/2/21,,,,Capital O 45971 Green Touch Resort,0,0,,,High,Hotel & Resort
33118,BD,admin,8/2/21,8/2/21,,,,Hotel Ujanvati & Resort,24.0368372,91.0102517,200,wh28wzz,High,Hotel & Resort
