,id,country,user_id,updated_date,created_date,level_id,affluence_id,unique_id,name,latitude,longitude,radius,geohash,afluence,category
0,33059,BD,admin,8/2/21,8/2/21,,,,_____ __ __ ______,22.160587,90.1185375,200.0,w5bn4dnqf,Mid,Restaurant
1,33060,BD,admin,8/2/21,8/2/21,,,,__________,22.1580913,90.1192254,200.0,w5bn49yb4,High,Restaurant
2,33061,BD,admin,8/2/21,8/2/21,,,,"Chicken Point, Barguna",22.1569244,90.1182404,200.0,w5bn49w17,High,Restaurant
3,33062,BD,admin,8/2/21,8/2/21,,,,Ruchita Foods,19.2049421,72.8772098,0.0,0,High,Restaurant
4,33063,BD,admin,8/2/21,8/2/21,,,,Love Bird Restaurant & Cafe,22.1582755,90.1198622,200.0,w5bn49z32,High,Restaurant
5,33064,BD,admin,8/2/21,8/2/21,,,,"_____ ______, _______",22.1569244,90.1182404,200.0,w5bn49w17,High,Restaurant
6,33065,BD,admin,8/2/21,8/2/21,,,,____ ______,22.1605051,90.1200636,200.0,w5bn4dpqm,High,Restaurant
7,33066,BD,admin,8/2/21,8/2/21,,,,_____ _____,23.7967041,90.3421838,200.0,wh0pru11v,High,Restaurant
8,33067,BD,admin,8/2/21,8/2/21,,,,"Officer's Club Cafeteria, Barguna",22.1581035,90.1196637,200.0,w5bn49z0k,Low,Restaurant
9,33068,BD,admin,8/2/21,8/2/21,,,,"Hotel Takdir, Barguna",22.16095,90.121635,200.0,w5bn4f28f,Low,Restaurant
10,33069,BD,admin,8/2/21,8/2/21,,,,"C&B quarter,barguna",22.1564773,90.1252555,200.0,w5bn4c7ny,High,Restaurant
11,33070,BD,admin,8/2/21,8/2/21,,,,"Gazi Kitchen ____ _____,______",22.1557001,90.1270368,200.0,w5bn4ckd2,Low,Restaurant
12,33071,BD,admin,8/2/21,8/2/21,,,,Jafor best tea stoll in barguna,22.1473047,90.112278,200.0,w5bjfxcc2,Low,Restaurant
13,33072,BD,admin,8/2/21,8/2/21,,,,Hotel Taj and Restaurant,22.1605038,90.1200547,200.0,w5bn4dpqm,High,Restaurant
14,33073,BD,admin,8/2/21,8/2/21,,,,Shaju's Hotel & Restaurant,22.1609363,90.12034,200.0,w5bn4dr8u,High,Restaurant
15,33074,BD,admin,8/2/21,8/2/21,,,,_____ _____ ___,23.7896411,90.4255891,200.0,wh0r3dvbs,High,Restaurant
16,33075,BD,admin,8/2/21,8/2/21,,,,Tawa,22.7037832,90.3704828,200.0,wh030mjg0,High,Restaurant
17,33076,BD,admin,8/2/21,8/2/21,,,,Handi Korai,22.7037832,90.3704828,200.0,wh030mjg0,High,Restaurant
18,33077,BD,admin,8/2/21,8/2/21,,,,Western Food Restaurant,22.7018558,90.3547946,200.0,wh030hdrg,High,Restaurant
