id,country,user_id,updated_date,created_date,level_id,affluence_id,unique_id,name,latitude,longitude,radius,geohash,afluence,category
33059,BD,admin,8/2/21,8/2/21,,,,_____ __ __ ______,22.160587,90.1185375,200,w5bn4dnqf,Mid,Restaurant
33060,BD,admin,8/2/21,8/2/21,,,,__________,22.1580913,90.1192254,200,w5bn49yb4,High,Restaurant
33061,BD,admin,8/2/21,8/2/21,,,,"Chicken Point, Barguna",22.1569244,90.1182404,200,w5bn49w17,High,Restaurant
33063,BD,admin,8/2/21,8/2/21,,,,Love Bird Restaurant & Cafe,22.1582755,90.1198622,200,w5bn49z32,High,Restaurant
33064,BD,admin,8/2/21,8/2/21,,,,"_____ ______, _______",22.1569244,90.1182404,200,w5bn49w17,High,Restaurant
33065,BD,admin,8/2/21,8/2/21,,,,____ ______,22.1605051,90.1200636,200,w5bn4dpqm,High,Restaurant
33066,BD,admin,8/2/21,8/2/21,,,,_____ _____,23.7967041,90.3421838,200,wh0pru11v,High,Restaurant
33067,BD,admin,8/2/21,8/2/21,,,,"Officer's Club Cafeteria, Barguna",22.1581035,90.1196637,200,w5bn49z0k,Low,Restaurant
33068,BD,admin,8/2/21,8/2/21,,,,"Hotel Takdir, Barguna",22.16095,90.121635,200,w5bn4f28f,Low,Restaurant
33069,BD,admin,8/2/21,8/2/21,,,,"C&B quarter,barguna",22.1564773,90.1252555,200,w5bn4c7ny,High,Restaurant
33070,BD,admin,8/2/21,8/2/21,,,,"Gazi Kitchen ____ _____,______",22.1557001,90.1270368,200,w5bn4ckd2,Low,Restaurant
33071,BD,admin,8/2/21,8/2/21,,,,Jafor best tea stoll in barguna,22.1473047,90.112278,200,w5bjfxcc2,Low,Restaurant
33072,BD,admin,8/2/21,8/2/21,,,,Hotel Taj and Restaurant,22.1605038,90.1200547,200,w5bn4dpqm,High,Restaurant
33073,BD,admin,8/2/21,8/2/21,,,,Shaju's Hotel & Restaurant,22.1609363,90.12034,200,w5bn4dr8u,High,Restaurant
33074,BD,admin,8/2/21,8/2/21,,,,_____ _____ ___,23.7896411,90.4255891,200,wh0r3dvbs,High,Restaurant
33075,BD,admin,8/2/21,8/2/21,,,,Tawa,22.7037832,90.3704828,200,wh030mjg0,High,Restaurant
33076,BD,admin,8/2/21,8/2/21,,,,Handi Korai,22.7037832,90.3704828,200,wh030mjg0,High,Restaurant
33077,BD,admin,8/2/21,8/2/21,,,,Western Food Restaurant,22.7018558,90.3547946,200,wh030hdrg,High,Restaurant
33078,BD,admin,8/2/21,8/2/21,,,,Lake View Restaurant,22.7001459,90.3535092,200,wh030h3mv,High,Restaurant
33079,BD,admin,8/2/21,8/2/21,,,,"Hot Plate Restaurant Bangladesh,",22.6954927,90.3660409,200,wh0307ddc,High,Restaurant
33080,BD,admin,8/2/21,8/2/21,,,,Nazem's,22.704798,90.3652772,200,wh030m3cp,Ultra High,Restaurant
33081,BD,admin,8/2/21,8/2/21,,,,Appetizer Cafe & Restaurant,22.704798,90.3652772,200,wh030m3cp,Low,Restaurant
33082,BD,admin,8/2/21,8/2/21,,,,BFG Restaurant,22.6954927,90.3660409,200,wh0307ddc,High,Restaurant
33083,BD,admin,8/2/21,8/2/21,,,,Eastern Restaurant & Hotel,22.6852366,90.3567097,200,wh0301exp,High,Restaurant
33084,BD,admin,8/2/21,8/2/21,,,,Food Fusion Restaurant,22.7010021,90.3534511,200,wh030h96u,Low,Restaurant
33085,BD,admin,8/2/21,8/2/21,,,,Food King,22.7011892,90.359208,200,wh030hts4,High,Restaurant
33086,BD,admin,8/2/21,8/2/21,,,,Food Club,22.704798,90.3652772,200,wh030m3cp,High,Restaurant
33087,BD,admin,8/2/21,8/2/21,,,,The River Cafe,22.6949175,90.3655729,200,wh03076pq,High,Restaurant
33088,BD,admin,8/2/21,8/2/21,,,,Allhardan Restaurant,22.7145092,90.3485913,200,wh01pzjcd,High,Restaurant
33090,BD,admin,8/2/21,8/2/21,,,,South King Chinese Restaurant,22.6909297,90.3689492,200,wh0306u8j,High,Restaurant
33091,BD,admin,8/2/21,8/2/21,,,,Sumon,22.6822885,90.3576491,200,wh0301hmv,High,Restaurant
33092,BD,admin,8/2/21,8/2/21,,,,Bhola Bhai Biriyani Ghor,23.7453606,90.4277128,200,wh0r1dxqy,High,Restaurant
33093,BD,admin,8/2/21,8/2/21,,,,Shamim Bhola Hotel & Restaurant,23.766008,90.3585875,200,wh0r0nmp5,High,Restaurant
33094,BD,admin,8/2/21,8/2/21,,,,Bhola Hotel & Biryani House,23.7572699,90.3692279,200,wh0r0kuu5,Low,Restaurant
33095,BD,admin,8/2/21,8/2/21,,,,Bhola Shodor,22.6850853,90.6464831,200,wh03n9wy0,Low,Restaurant
33096,BD,admin,8/2/21,8/2/21,,,,Mr Biswajit Karmakar Bhola,23.8292232,91.2719846,200,wh0zscypr,High,Restaurant
33097,BD,admin,8/2/21,8/2/21,,,,Bhola mia motel,23.1079326,90.9918048,200,wh0eqwdjq,High,Restaurant
33098,BD,admin,8/2/21,8/2/21,,,,Bhola Store,23.771007,90.3639255,200,wh0r0r3h0,High,Restaurant
33099,BD,admin,8/2/21,8/2/21,,,,Bhola Food Garden Restaurant,22.346066,90.736139,200,w5bx0gbp3,High,Restaurant
33100,BD,admin,8/2/21,8/2/21,,,,Renaissance Dhaka Gulshan Hotel,23.784342,90.417346,200,wh0r33zcu,Ultra High,Restaurant
33101,BD,admin,8/2/21,8/2/21,,,,Kazi Farms Kitchen Gandaria,22.1785315,90.7101023,200,w5bw0jmp6,Low,Restaurant
33102,BD,admin,8/2/21,8/2/21,,,,_____ _____ _______ ___________ ____,22.5896546,90.6589765,200,wh02wbrf7,High,Restaurant
33103,BD,admin,8/2/21,8/2/21,,,,Bhola Saha Food Center & Restaurant,23.2146943,88.8862927,200,tuphndj52,High,Restaurant
33104,BD,admin,8/2/21,8/2/21,,,,TFC bhola,22.6739917,90.6466005,200,wh02yxwvd,Low,Restaurant
33105,BD,admin,8/2/21,8/2/21,,,,Jolojog Restaurant,22.813646,88.2294882,200,tun9z9ng0,Low,Restaurant
33106,BD,admin,8/2/21,8/2/21,,,,BHOLA SHIL,22.5906254,88.3376774,200,tunbd0mxc,High,Restaurant
33107,BD,admin,8/2/21,8/2/21,,,,Home Kitchen jkt,22.6464947,90.1991988,200,wh00ud9j3,Low,Restaurant
33108,BD,admin,8/2/21,8/2/21,,,,Deshi Voj (____ ___),22.6417908,90.1987027,200,wh00u9b9y,High,Restaurant
33109,BD,admin,8/2/21,8/2/21,,,,__________ ______ ____,23.7913596,90.3566619,200,wh0r255dw,Low,Restaurant
33110,BD,admin,8/2/21,8/2/21,,,,Hotel Sitta Sifat,22.6335169,90.1918681,200,wh00u279y,Low,Restaurant
33111,BD,admin,8/2/21,8/2/21,,,,fooddadu Jhalokathi,22.6412432,90.1986879,200,wh00u98wv,Low,Restaurant
33112,BD,admin,8/2/21,8/2/21,,,,Dalian Chinese Jhalakati,22.6405361,90.1961875,200,wh00u3wfe,High,Restaurant
33113,BD,admin,8/2/21,8/2/21,,,,Madaripur Dodhi Ghor,22.7035717,90.371386,200,wh030mn3v,Low,Restaurant
33114,BD,admin,8/2/21,8/2/21,,,,______ _____,23.4198212,91.1713738,200,wh0v4xkyq,High,Restaurant
33115,BD,admin,8/2/21,8/2/21,,,,Bayzid Restaurant,22.6065152,90.2123133,200,wh00sg6s7,Low,Restaurant
33116,BD,admin,8/2/21,8/2/21,,,,Appayon Restuarant and Kabab,22.6464947,90.1991988,200,wh00ud9j3,High,Restaurant
33117,BD,admin,8/2/21,8/2/21,,,,Ma-mony Hotel (__-___ _____),22.7925723,90.1822792,200,wh01sjk8r,High,Restaurant
33118,BD,admin,8/2/21,8/2/21,,,,___ _____,22.6406006,90.1986798,200,wh00u98ej,Low,Restaurant
33119,BD,admin,8/2/21,8/2/21,,,,Favourite Food,22.6493531,90.1988263,200,wh00ue0y0,Low,Restaurant
33120,BD,admin,8/2/21,8/2/21,,,,________ _____,23.8071545,90.4164871,200,wh0r3mzq8,High,Restaurant
